,T_stag_in,C_e,G_c,G_fuel,G_in_norm_rel,G_out,N_e,T_g_stag
20,243.0,0.0192,52.49,0.852,1.017,51.17,16.0,1355.4
19,246.0,0.0192,52.06,0.854,1.015,50.76,16.0,1367.7
18,249.0,0.0193,51.63,0.857,1.013,50.35,16.0,1380.1
17,252.0,0.0193,51.22,0.859,1.011,49.95,16.0,1392.4
16,255.0,0.0194,50.81,0.861,1.009,49.57,16.0,1404.8
15,258.0,0.0194,50.41,0.864,1.007,49.18,16.0,1416.8
14,261.0,0.0195,50.01,0.866,1.005,48.81,16.0,1428.7
13,264.0,0.0195,49.63,0.868,1.003,48.44,16.0,1440.6
12,267.0,0.0196,49.25,0.87,1.001,48.08,16.0,1452.4
11,270.0,0.0196,48.87,0.873,0.999,47.72,16.0,1464.3
10,273.0,0.0197,48.5,0.875,0.996,47.37,16.0,1476.3
9,276.0,0.0198,48.13,0.878,0.994,47.01,16.0,1488.8
8,279.0,0.0198,47.75,0.88,0.992,46.66,16.0,1501.2
7,282.0,0.0199,47.39,0.883,0.99,46.31,16.0,1513.7
6,285.0,0.0199,46.85,0.878,0.983,45.78,15.85,1521.9
5,288.0,0.0201,46.07,0.864,0.972,45.03,15.5,1524.6
4,291.0,0.0202,45.34,0.85,0.962,44.31,15.17,1527.2
3,294.0,0.0203,44.63,0.837,0.952,43.62,14.84,1529.9
2,297.0,0.0204,43.94,0.824,0.942,42.95,14.52,1532.5
1,300.0,0.0206,43.28,0.811,0.932,42.3,14.21,1535.1
0,303.0,0.0207,42.64,0.799,0.923,41.68,13.9,1537.7
