,T_stag_in,T_out,T_stag_in,eta_c_stag,eta_c_stag_rel,eta_e,g_fuel,n
20,243.0,690.4,243.0,0.821,0.992,0.388,0.0162,10268.7
19,246.0,697.6,246.0,0.822,0.993,0.387,0.0164,10313.7
18,249.0,704.7,249.0,0.823,0.994,0.386,0.0166,10358.4
17,252.0,711.9,252.0,0.823,0.995,0.385,0.0168,10402.9
16,255.0,719.0,255.0,0.824,0.996,0.384,0.017,10447.1
15,258.0,726.2,258.0,0.825,0.997,0.383,0.0171,10490.6
14,261.0,733.4,261.0,0.826,0.998,0.382,0.0173,10533.7
13,264.0,740.6,264.0,0.826,0.999,0.381,0.0175,10576.8
12,267.0,747.8,267.0,0.827,0.999,0.38,0.0177,10619.5
11,270.0,755.0,270.0,0.828,1.0,0.379,0.0179,10661.7
10,273.0,762.3,273.0,0.828,1.001,0.378,0.018,10705.5
9,276.0,770.0,276.0,0.828,1.001,0.376,0.0182,10751.8
8,279.0,777.6,279.0,0.829,1.001,0.375,0.0184,10797.9
7,282.0,785.2,282.0,0.829,1.002,0.374,0.0186,10843.7
6,285.0,791.3,285.0,0.829,1.002,0.373,0.0187,10868.5
5,288.0,795.3,288.0,0.83,1.003,0.371,0.0187,10866.3
4,291.0,799.4,291.0,0.831,1.004,0.369,0.0187,10866.2
3,294.0,803.5,294.0,0.832,1.006,0.366,0.0187,10867.4
2,297.0,807.8,297.0,0.833,1.007,0.364,0.0187,10869.1
1,300.0,812.0,300.0,0.834,1.008,0.362,0.0187,10872.3
0,303.0,816.3,303.0,0.835,1.01,0.359,0.0187,10876.6
